formula,target,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Cs2Li1Y1Cl6,19.0,3,55,52,25.4,14.56,17,1,94,93,58.7,42.36,94,6.941,132.9054519,125.9644519,57.43757538,36.480805532,35.453,171.6,1799.0,1627.4,388.547,295.1192,171.6,1,17,16,10.8,7.44,17,2,6,4,3.7,1.18,3,102,244,142,141.8,50.52,102,0.79,3.16,2.37,2.274,1.0632,3.16,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,16.5933333333,115.765,99.1716666667,42.74733333333,29.207066666668,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0.0,0.0,0.0,0.0,0,64,229,165,126.5,75.0,64
Cs2K1Sc1Cl6,4.0,17,55,38,25.2,11.92,17,3,94,91,58.8,42.24,94,35.453,132.9054519,97.4524519,56.25831158,30.658856128,35.453,171.6,1814.0,1642.4,378.331,287.1338,171.6,1,17,16,10.8,7.44,17,3,6,3,3.8,0.96,3,102,244,142,147.3,54.36,102,0.79,3.16,2.37,2.272,1.0656,3.16,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,22.235,115.765,93.53,47.38566666667,32.495933333338,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,6.35e-06,6.35e-06,6.35e-07,1.143e-06,0,64,229,165,126.5,75.0,64
K1Rb2In1Cl6,12.0,17,49,32,24.4,9.96,17,3,94,91,65.0,36.8,94,35.453,114.818,79.365,53.75699,24.896526,35.453,171.6,429.75,258.15,242.08,84.576,171.6,1,17,16,11.8,6.48,17,3,5,2,3.7,0.84,3,102,220,118,139.7,45.24,102,0.82,3.16,2.34,2.32,1.008,3.16,1,2,1,1.7,0.42,2,0,5,5,3.1,2.28,5,0,10,10,1.0,1.8,0,0,0,0,0.0,0.0,0,1,13,12,5.8,2.88,7,0,1,1,0.3,0.42,0,0,5,5,1.1,0.78,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,5,4,1.4,0.72,1,24.26,90.7225,66.4625,42.57966666667,25.362533333338,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0.0,0.0,0.0,0.0,0,64,229,165,121.0,68.4,64
Rb2Li1In1Cl6,49.0,3,49,46,22.8,10.92,17,1,94,93,64.8,37.08,94,6.941,114.818,107.877,50.54126,26.825964,35.453,171.6,453.69,282.09,253.796,98.6352,171.6,1,17,16,11.8,6.48,17,2,5,3,3.5,0.9,3,102,220,118,132.2,37.08,102,0.82,3.16,2.34,2.336,0.9888,3.16,1,2,1,1.7,0.42,2,0,5,5,3.1,2.28,5,0,10,10,1.0,1.8,0,0,0,0,0.0,0.0,0,1,13,12,5.8,2.88,7,0,1,1,0.3,0.42,0,0,5,5,1.1,0.78,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,5,4,1.4,0.72,1,16.5933333333,90.7225,74.1291666667,36.92833333333,21.517666666668,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0.0,0.0,0.0,0.0,0,64,229,165,121.0,68.4,64
Cs2Na1Sb1Cl6,20.0,11,55,44,27.4,15.76,17,2,94,92,66.1,37.26,94,22.98976928,132.9054519,109.91568262,62.327867308,40.1174603752,35.453,171.6,903.78,732.18,290.743,142.9716,171.6,1,17,16,12.0,6.6,17,3,6,3,3.8,1.12,3,102,244,142,140.5,46.5,102,0.79,3.16,2.37,2.352,0.9696,3.16,1,2,1,1.7,0.42,2,0,5,5,3.3,2.04,5,0,10,10,1.0,1.8,0,0,0,0,0.0,0.0,0,1,15,14,6.0,3.0,7,0,1,1,0.3,0.42,0,0,3,3,0.9,0.54,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,3,2,1.2,0.36,1,24.4975,115.765,91.2675,43.93183333333,28.733266666668,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0.0,0.0,0.0,0.0,0,64,229,165,123.7,71.64,64
Rb2Na1Sb1Cl6,19.0,11,51,40,23.8,10.72,17,2,94,92,65.9,37.54,94,22.98976928,121.76,98.77023072,52.840336928,26.8349178432,35.453,171.6,903.78,732.18,292.917,145.5804,171.6,1,17,16,12.0,6.6,17,3,5,2,3.6,0.84,3,102,220,118,135.7,40.44,102,0.82,3.16,2.34,2.358,0.9624,3.16,1,2,1,1.7,0.42,2,0,5,5,3.3,2.04,5,0,10,10,1.0,1.8,0,0,0,0,0.0,0.0,0,1,15,14,6.0,3.0,7,0,1,1,0.3,0.42,0,0,3,3,0.9,0.54,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,3,2,1.2,0.36,1,24.4975,90.7225,66.225,38.92333333333,20.719666666668,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0.0,0.0,0.0,0.0,0,64,229,165,123.7,71.64,64
Cs2Na1Y1Br6,38.0,11,55,44,37.0,7.6,35,2,95,93,59.4,42.72,95,22.98976928,132.9054519,109.91568262,85.713052308,19.5155193752,79.904,265.8,1799.0,1533.2,436.785,272.443,265.8,1,17,16,10.8,7.44,17,3,6,3,4.4,0.76,4,120,244,124,156.4,43.68,120,0.79,2.96,2.17,2.149,0.9732,2.96,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,10,10,6.1,4.68,10,0,0,0,0.0,0.0,0,1,17,16,10.8,7.44,17,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,29.2433333333,115.765,86.5216666667,47.00183333333,27.505266666668,29.48,0,1.457,1.457,0.8742,0.69936,1.457,0,0.0,0.0,0.0,0.0,0,64,229,165,126.5,75.0,64
Cs2Na1As1Cl6,21.0,11,55,44,25.6,13.24,17,2,94,92,66.0,37.2,94,22.98976928,132.9054519,109.91568262,57.644027308,33.5600843752,35.453,171.6,1090.0,918.4,309.365,168.428,171.6,1,17,16,12.0,6.6,17,3,6,3,3.7,0.98,3,102,244,142,138.5,47.7,102,0.79,3.16,2.37,2.365,0.954,3.16,1,2,1,1.7,0.42,2,0,5,5,3.3,2.04,5,0,10,10,1.0,1.8,0,0,0,0,0.0,0.0,0,1,15,14,6.0,3.0,7,0,1,1,0.3,0.42,0,0,3,3,0.9,0.54,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,3,2,1.2,0.36,1,22.175,115.765,93.59,42.99333333333,29.108666666668,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0.0,0.0,0.0,0.0,0,64,229,165,123.7,71.64,64
Rb2Tl1In1Cl6,22.0,17,81,64,30.6,16.32,17,4,94,90,72.3,27.32,94,35.453,204.3833,168.9303,70.28549,41.798988,35.453,171.6,577.0,405.4,266.127,113.4324,171.6,1,17,16,13.0,4.8,17,3,6,3,3.9,1.08,3,102,220,118,133.9,38.28,102,0.82,3.16,2.34,2.4,0.912,3.16,1,2,1,1.8,0.32,2,0,5,5,3.2,2.16,5,0,10,10,2.0,3.2,0,0,14,14,1.4,2.52,0,1,27,26,8.4,4.64,7,0,1,1,0.2,0.32,0,0,5,5,1.6,1.36,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,5,4,1.8,1.28,1,24.26,90.7225,66.4625,37.96,21.105,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0.0,0.0,0.0,0.0,0,64,229,165,117.5,64.2,64
Rb2Na1Tl1Cl6,17.0,11,81,70,26.8,14.92,17,2,94,92,65.0,37.0,94,22.98976928,204.3833,181.39353072,61.102666928,38.4021798432,35.453,171.6,577.0,405.4,260.239,106.3668,171.6,1,17,16,11.8,6.48,17,3,6,3,3.7,0.98,3,102,220,118,136.3,41.16,102,0.82,3.16,2.34,2.315,1.014,3.16,1,2,1,1.7,0.42,2,0,5,5,3.1,2.28,5,0,10,10,1.0,1.8,0,0,14,14,1.4,2.52,0,1,27,26,7.2,3.96,7,0,1,1,0.3,0.42,0,0,5,5,1.1,0.78,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,5,4,1.4,0.72,1,24.4975,90.7225,66.225,38.45833333333,20.905666666668,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0.0,0.0,0.0,0.0,0,64,229,165,126.5,75.0,64
