formula,target,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Rb3Nb1F6,-2.973523901964,9,41,32,20.6,13.92,9,4,93,89,61.7,37.56,93,18.9984032,92.90638,73.9079768,46.33001992,32.797940064,18.9984032,53.5,2750.0,2696.5,400.838,469.8324,53.5,1,17,16,11.0,7.2,17,2,5,3,3.2,1.44,2,57,220,163,116.6,71.52,57,0.82,3.98,3.16,2.794,1.4232,3.98,1,2,1,1.6,0.48,2,0,5,5,3.0,2.4,5,0,4,4,0.4,0.72,0,0,0,0,0.0,0.0,0,1,7,6,5.0,2.4,7,0,1,1,0.4,0.48,0,0,1,1,0.6,0.48,1,0,6,6,0.6,1.08,0,0,0,0,0.0,0.0,0,1,7,6,1.6,1.08,1,9.7075,90.7225,81.015,34.85925,33.51795,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,100.6,102.72,15
Rb3In1F6,-2.974202455964,9,49,40,21.4,14.88,9,4,93,89,64.5,36.3,93,18.9984032,114.818,95.8195968,48.52118192,35.427334464,18.9984032,53.5,429.75,376.25,168.813,138.3756,53.5,1,17,16,11.8,6.48,17,2,5,3,3.2,1.44,2,57,220,163,114.4,68.88,57,0.82,3.98,3.16,2.812,1.4016,3.98,1,2,1,1.7,0.42,2,0,5,5,3.1,2.28,5,0,10,10,1.0,1.8,0,0,0,0,0.0,0.0,0,1,13,12,5.8,2.88,7,0,1,1,0.3,0.42,0,0,5,5,1.1,0.78,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,5,4,1.4,0.72,1,9.7075,90.7225,81.015,35.46725,33.15315,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,91.6,91.92,15
K2Al1Hg1F6,-2.973493525314,9,80,71,18.5,12.5,9,3,93,90,70.8,27.12,93,18.9984032,200.59,181.5915968,41.97585578,31.722828844,18.9984032,53.5,933.47,879.97,216.185,195.222,53.5,1,17,16,12.9,4.94,17,2,6,4,2.9,1.08,2,57,203,146,100.1,51.72,57,0.82,3.98,3.16,2.913,1.2804,3.98,1,2,1,1.8,0.32,2,0,5,5,3.1,2.28,5,0,10,10,1.0,1.8,0,0,14,14,1.4,2.52,0,1,26,25,7.3,3.74,7,0,1,1,0.2,0.32,0,0,5,5,1.1,0.78,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,5,5,1.3,0.74,1,9.7075,73.1066666667,63.3991666667,24.61759195403,19.519628735642,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,93.9,94.68,15
Cs2K1Ta1F6,-2.97305579860021,9,73,64,25.6,21.24,9,3,93,90,61.9,37.32,93,18.9984032,180.94788,161.9494768,59.9847503,53.36090658,18.9984032,53.5,3290.0,3236.5,455.071,566.9858,53.5,1,17,16,11.0,7.2,17,2,6,4,3.4,1.68,2,57,244,187,120.3,75.96,57,0.79,3.98,3.19,2.778,1.4424,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,3,3,0.3,0.54,0,0,14,14,1.4,2.52,0,1,19,18,6.4,3.24,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,7,7,0.7,1.26,0,0,0,0,0.0,0.0,0,1,7,6,1.6,1.08,1,9.7075,115.765,106.0575,38.10016666667,38.067233333338,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,100.6,102.72,15
Rb3Fe1F6,-2.969360637964,9,37,28,19.1,12.12,9,4,93,89,62.5,36.6,93,18.9984032,85.4678,66.4693968,42.62388192,28.350574464,18.9984032,53.5,1811.0,1757.5,306.938,304.1256,53.5,1,17,16,11.3,6.84,17,2,5,3,3.1,1.32,2,57,220,163,113.4,67.68,57,0.82,3.98,3.16,2.817,1.3956,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,6,6,0.6,1.08,0,0,0,0,0.0,0.0,0,1,8,7,5.3,2.58,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,4,4,0.4,0.72,0,0,0,0,0.0,0.0,0,1,4,3,1.3,0.54,1,9.7075,90.7225,81.015,34.11425,33.96495,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,2.1106628,2.1106628,0.21106628,0.379919304,0,15,229,214,100.6,102.72,15
Rb2Na1Ta1F6,-2.965608552714,9,73,64,21.2,16.68,9,2,93,91,61.6,37.68,93,18.9984032,180.94788,161.9494768,48.886366848,41.0448758912,18.9984032,53.5,3290.0,3236.5,460.679,565.8642,53.5,1,17,16,11.0,7.2,17,2,6,4,3.1,1.34,2,57,220,163,111.8,65.76,57,0.82,3.98,3.16,2.795,1.422,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,3,3,0.3,0.54,0,0,14,14,1.4,2.52,0,1,19,18,6.4,3.24,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,7,7,0.7,1.26,0,0,0,0,0.0,0.0,0,1,7,6,1.6,1.08,1,9.7075,90.7225,81.015,28.70533333333,24.914466666662,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,100.6,102.72,15
Cs2K1Mn1F6,-2.96319782366172,9,55,46,20.8,14.52,9,3,93,90,62.3,36.84,93,18.9984032,132.9054519,113.9070487,47.3837668,35.71952968,18.9984032,53.5,1519.0,1465.5,277.971,269.3652,53.5,1,17,16,11.2,6.96,17,2,6,4,3.2,1.44,2,57,244,187,117.2,72.24,57,0.79,3.98,3.19,2.783,1.4364,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,5,5,0.5,0.9,0,0,0,0,0.0,0.0,0,1,7,6,5.2,2.52,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,5,5,0.5,0.9,0,0,0,0,0.0,0.0,0,1,5,4,1.4,0.72,1,9.7075,115.765,106.0575,37.33692528736,38.525178160924,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.000310120689655,0.000310120689655,3.10120689655e-05,5.58217241379e-05,0,15,229,214,99.4,101.28,15
Cs2K1Bi1F6,-2.95620602760021,9,83,74,26.6,22.64,9,3,93,90,65.7,36.82,93,18.9984032,208.9804,189.9819968,62.7880023,57.28545938,18.9984032,53.5,544.4,490.9,180.511,152.4132,53.5,1,17,16,12.0,6.6,17,2,6,4,3.4,1.68,2,57,244,187,118.1,73.32,57,0.79,3.98,3.19,2.83,1.38,3.98,1,2,1,1.7,0.42,2,0,5,5,3.3,2.04,5,0,10,10,1.0,1.8,0,0,14,14,1.4,2.52,0,1,29,28,7.4,4.32,7,0,1,1,0.3,0.42,0,0,3,3,0.9,0.54,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,3,2,1.2,0.36,1,9.7075,115.765,106.0575,39.58316666667,37.177433333338,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,12,229,217,78.9,90.06,15
Rb2Li1Bi1F6,-2.95374256588067,3,83,80,21.4,18.56,9,1,93,92,65.3,37.38,93,6.941,208.9804,202.0394,50.08474192,45.932354848,18.9984032,53.5,544.4,490.9,194.401,169.0812,53.5,1,17,16,12.0,6.6,17,2,6,4,3.0,1.4,2,57,220,163,105.8,58.56,57,0.82,3.98,3.16,2.852,1.3536,3.98,1,2,1,1.7,0.42,2,0,5,5,3.3,2.04,5,0,10,10,1.0,1.8,0,0,14,14,1.4,2.52,0,1,29,28,7.4,4.32,7,0,1,1,0.3,0.42,0,0,3,3,0.9,0.54,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,3,2,1.2,0.36,1,9.7075,90.7225,81.015,28.92333333333,25.525000000002,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,12,229,217,78.9,90.06,15
Cs2Na1Bi1F6,-2.95258323380021,9,83,74,25.8,23.12,9,2,93,91,65.6,36.96,93,18.9984032,208.9804,189.9819968,61.177149228,58.2519712232,18.9984032,53.5,544.4,490.9,183.945,156.534,53.5,1,17,16,12.0,6.6,17,2,6,4,3.3,1.62,2,57,244,187,114.4,68.88,57,0.79,3.98,3.19,2.841,1.3668,3.98,1,2,1,1.7,0.42,2,0,5,5,3.3,2.04,5,0,10,10,1.0,1.8,0,0,14,14,1.4,2.52,0,1,29,28,7.4,4.32,7,0,1,1,0.3,0.42,0,0,3,3,0.9,0.54,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,3,2,1.2,0.36,1,9.7075,115.765,106.0575,35.19683333333,32.227266666668,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,12,229,217,78.9,90.06,15
